,0,buy Signal
2021-05-31,129417476,Buy
2021-05-31,130000644,Buy
2021-05-31,130513924,Buy
2021-05-31,130551300,Buy
2021-05-31,133940996,Buy
2021-05-31,133991684,Buy
2021-05-31,138682628,Buy
2021-05-31,138693124,Buy
2021-05-31,135874308,Buy
2021-05-31,136271108,Buy
2021-05-31,136414212,Buy
2021-05-31,136428036,Buy
2021-05-31,136474628,Buy
2021-05-31,136486404,Buy
2021-05-31,136516356,Buy
2021-05-31,136518148,Buy
2021-05-31,136580868,Buy
2021-06-07,128123652,Buy
2021-06-07,128211204,Buy
2021-06-07,128793860,Buy
2021-06-07,129329156,Buy
2021-06-07,129465860,Buy
2021-06-07,130551300,Buy
2021-06-07,138379268,Buy
2021-06-07,558849,Buy
2021-06-07,138983428,Buy
2021-06-07,842753,Buy
2021-06-07,136402436,Buy
2021-06-07,136517380,Buy
2021-06-07,136518148,Buy
2021-06-07,136580868,Buy
2021-06-07,139069956,Buy
2021-06-14,136390916,Buy
2021-06-14,136402436,Buy
2021-06-14,136517380,Buy
2021-06-28,128064516,Buy
2021-06-28,134004996,Buy
2021-06-28,2395137,Buy
2021-06-28,138946564,Buy
2021-07-05,128064516,Buy
2021-07-05,134004996,Buy
2021-07-05,138396420,Buy
2021-07-05,2395137,Buy
2021-07-05,138946564,Buy
2021-07-05,136315396,Buy
2021-07-05,138252036,Buy
2021-07-12,128017156,Buy
2021-07-12,128172548,Buy
2021-07-12,128224772,Buy
2021-07-12,132396548,Buy
2021-07-12,138396420,Buy
2021-07-12,138416900,Buy
2021-07-12,136402436,Dont Buy
2021-07-12,136437764,Buy
2021-07-19,134041092,Buy
2021-07-19,136422404,Buy
2021-07-19,136437764,Buy
2021-07-26,139024388,Buy
2021-07-26,136231940,Buy
2021-08-02,128046084,Buy
2021-08-02,128063236,Buy
2021-08-02,128211204,Buy
2021-08-02,138435076,Buy
2021-08-09,128046084,Buy
2021-08-09,128063236,Buy
2021-08-09,128126724,Buy
2021-08-09,128178180,Buy
2021-08-09,128211204,Buy
2021-08-09,136231684,Buy
2021-08-16,128133124,Buy
2021-08-23,128007940,Buy
2021-08-23,128117508,Buy
2021-08-23,129703684,Buy
2021-08-23,138423300,Buy
2021-08-23,138436868,Buy
2021-08-23,136367108,Buy
2021-08-23,139074052,Buy
2021-08-30,151058180,Buy
2021-08-30,128022020,Buy
2021-08-30,128048132,Buy
2021-08-30,128060932,Buy
2021-08-30,128063236,Buy
2021-08-30,128099076,Buy
2021-08-30,128117508,Buy
2021-08-30,128147204,Buy
2021-08-30,129465860,Buy
2021-08-30,130542084,Buy
2021-08-30,132896260,Buy
2021-08-30,138418948,Buy
2021-08-30,138438916,Buy
2021-08-30,138436868,Buy
2021-08-30,138611204,Buy
2021-08-30,138638596,Buy
2021-08-30,138693124,Buy
2021-08-30,138768900,Buy
2021-08-30,138937860,Buy
2021-08-30,136325636,Buy
2021-08-30,136376324,Buy
2021-08-30,136422404,Buy
2021-08-30,136472580,Buy
2021-08-30,139074052,Buy
2021-08-30,136911108,Buy
2021-08-30,138049028,Buy
2021-08-30,138099204,Buy
2021-09-06,128017156,Buy
2021-09-06,128060932,Buy
2021-09-06,128063236,Buy
2021-09-06,128099076,Buy
2021-09-06,128122116,Buy
2021-09-06,128147204,Buy
2021-09-06,129465860,Buy
2021-09-06,132896260,Buy
2021-09-06,4524801,Buy
2021-09-06,138418948,Buy
2021-09-06,134714116,Buy
2021-09-06,138611204,Buy
2021-09-06,138638596,Buy
2021-09-06,138918148,Buy
2021-09-06,138937860,Buy
2021-09-06,138944516,Buy
2021-09-06,139069444,Buy
2021-09-06,136321284,Buy
2021-09-06,136376324,Buy
2021-09-06,136406788,Buy
2021-09-06,136435972,Buy
2021-09-06,136472580,Buy
2021-09-06,136516356,Buy
2021-09-06,136519172,Buy
2021-09-06,136911108,Buy
2021-09-06,138099204,Buy
2021-09-13,145920260,Buy
2021-09-13,128010500,Buy
2021-09-13,128017156,Buy
2021-09-13,128027140,Buy
2021-09-13,128046596,Buy
2021-09-13,128072964,Buy
2021-09-13,128135684,Buy
2021-09-13,139062276,Buy
2021-09-13,129417476,Buy
2021-09-13,132396548,Buy
2021-09-13,132450564,Buy
2021-09-13,133969668,Buy
2021-09-13,133989892,Buy
2021-09-13,136310020,Buy
2021-09-13,136321284,Buy
2021-09-13,136357892,Buy
2021-09-13,136379908,Buy
2021-09-13,136400388,Buy
2021-09-13,136516356,Buy
2021-09-20,145920260,Buy
2021-09-20,151046148,Buy
2021-09-20,128010500,Buy
2021-09-20,128029956,Buy
2021-09-20,128034564,Buy
2021-09-20,151074308,Buy
2021-09-20,128047108,Buy
2021-09-20,128072964,Buy
2021-09-20,128135684,Buy
2021-09-20,128171524,Buy
2021-09-20,128176644,Buy
2021-09-20,134202884,Buy
2021-09-20,135741188,Buy
2021-09-20,135989508,Buy
2021-09-20,136357892,Buy
2021-09-20,136596740,Buy
2021-09-20,138252036,Buy
2021-09-27,128026372,Buy
2021-09-27,128027908,Buy
2021-09-27,128028164,Buy
2021-09-27,128061700,Buy
2021-09-27,128133124,Buy
2021-09-27,134044164,Buy
2021-09-27,134202884,Buy
2021-09-27,136228868,Buy
2021-09-27,136237572,Buy
2021-09-27,136310020,Buy
2021-09-27,136314116,Buy
2021-09-27,136320004,Buy
2021-09-27,136333572,Buy
2021-09-27,136379908,Buy
2021-09-27,136394244,Buy
2021-09-27,136511492,Buy
2021-09-27,136536068,Buy
2021-09-27,136580868,Buy
2021-09-27,139073796,Buy
2021-10-04,128026372,Buy
2021-10-04,128027908,Buy
2021-10-04,128028164,Buy
2021-10-04,128032260,Buy
2021-10-04,128048900,Buy
2021-10-04,128090884,Buy
2021-10-04,128120068,Buy
2021-10-04,128596484,Buy
2021-10-04,129078276,Buy
2021-10-04,129637124,Buy
2021-10-04,130430980,Buy
2021-10-04,132428804,Buy
2021-10-04,132437508,Buy
2021-10-04,133704964,Buy
2021-10-04,135698692,Buy
2021-10-04,138535172,Buy
